playlist_name,playlist_id,playlist_genre,playlist_subgenre,playlist_url
Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,https://open.spotify.com/playlist/37i9dQZF1DXcZDD7cfEKhW
Dance Pop,37i9dQZF1DWZQaaqNMbbXa,pop,dance pop,https://open.spotify.com/playlist/37i9dQZF1DWZQaaqNMbbXa
Dance Room,37i9dQZF1DX2ENAPP1Tyed,pop,dance pop,https://open.spotify.com/playlist/37i9dQZF1DX2ENAPP1Tyed
Cardio,37i9dQZF1DWSJHnPb1f0X3,pop,dance pop,https://open.spotify.com/playlist/37i9dQZF1DWSJHnPb1f0X3
Dance Pop Hits,37i9dQZF1DX6pH08wMhkaI,pop,dance pop,https://open.spotify.com/playlist/37i9dQZF1DX6pH08wMhkaI
Pop Warmup 130 BPM,37i9dQZF1DX3PIAZMcbo2T,pop,dance pop,https://open.spotify.com/playlist/37i9dQZF1DX3PIAZMcbo2T
Dance Pop: Japan,37i9dQZF1DXahYFr91pFvG,pop,dance pop,https://open.spotify.com/playlist/37i9dQZF1DXahYFr91pFvG
K-Party Dance Mix,37i9dQZF1DX4RDXswvP6Mj,pop,dance pop,https://open.spotify.com/playlist/37i9dQZF1DX4RDXswvP6Mj
Dance Pop,0B2HdP15IucgE0vk3sluJR,pop,dance pop,https://open.spotify.com/playlist/0B2HdP15IucgE0vk3sluJR
Dance Pop Tunes,4SdfG4cPG3skmTiQLozZGh,pop,dance pop,https://open.spotify.com/playlist/4SdfG4cPG3skmTiQLozZGh
Pop / Dance,6mXh8CUBMBsBUu88a4eAQV,pop,dance pop,https://open.spotify.com/playlist/6mXh8CUBMBsBUu88a4eAQV
Todo Éxitos,2ji5tRQVfnhaX1w9FhmSzk,pop,dance pop,https://open.spotify.com/playlist/2ji5tRQVfnhaX1w9FhmSzk
90s Dance Hits,50cXvxgMGrvoUeLhkzCyIO,pop,dance pop,https://open.spotify.com/playlist/50cXvxgMGrvoUeLhkzCyIO
Christian Dance Party,37i9dQZF1DWUUPO0Sbx2CM,pop,dance pop,https://open.spotify.com/playlist/37i9dQZF1DWUUPO0Sbx2CM
Pop Dance Hits,7eERKCkgNKCCx5GYdeMIZf,pop,dance pop,https://open.spotify.com/playlist/7eERKCkgNKCCx5GYdeMIZf
Best of 2019 Dance Pop: Japan,37i9dQZF1DXdOtZGKonFlM,pop,dance pop,https://open.spotify.com/playlist/37i9dQZF1DXdOtZGKonFlM
Ultimate Indie Presents... Best Indie Tracks of the 2010s,37i9dQZF1DWTHM4kX49UKs,pop,dance pop,https://open.spotify.com/playlist/37i9dQZF1DWTHM4kX49UKs
TUNES DANCE AND POP,3arpkhoRWXEYbdCpVAIrRR,pop,dance pop,https://open.spotify.com/playlist/3arpkhoRWXEYbdCpVAIrRR
Pop Inglés (2020 - 2010s)💙 Música En Inglés 2010s,4QAzO1Z92yqqD6Mf3mOANu,pop,dance pop,https://open.spotify.com/playlist/4QAzO1Z92yqqD6Mf3mOANu
ELETRIC POP & DANCE,7316uT3vVzTidCI8cinBUv,pop,dance pop,https://open.spotify.com/playlist/7316uT3vVzTidCI8cinBUv
